X,Y
1,30339.654297
2,30928.220703
3,29837.621094
4,30204.023438
5,33561.125000
6,33617.015625
7,35148.937500
8,32501.093750
9,34194.984375
10,29519.023438
11,28826.638672
12,36575.031250
13,35255.765625
14,32686.244141
15,31062.394531
16,31429.378906
17,31083.818359
18,31732.810547
19,34002.820312
20,32405.109375
21,34146.148438
22,31943.841797
23,34051.738281
24,29187.000000
25,35283.652344
26,28991.574219
27,37556.464844
28,30757.361328
29,36530.062500
30,34104.031250
31,29116.677734
32,37403.210938
33,29384.976562
34,36512.707031
35,40760.339844
36,33457.410156
37,31353.236328
38,29901.503906
39,31239.150391
40,35936.187500
41,30309.228516
42,27992.882812
43,40625.597656
44,36606.164062
45,33637.527344
46,33705.425781
47,29352.605469
48,35783.046875
49,31309.085938
50,32618.078125
51,32260.402344
52,30778.953125
53,33411.796875
54,30537.078125
55,34386.425781
56,28505.849609
57,33780.007812
58,33697.300781
59,32591.945312
60,30865.613281
61,32939.605469
62,30370.142578
63,33597.371094
64,34247.707031
65,35201.386719
66,33584.488281
67,31677.787109
68,34911.503906
69,33132.582031
70,37243.410156
71,33294.324219
72,32377.402344
73,36303.976562
74,30607.220703
75,31920.865234
76,29663.109375
77,31182.244141
78,34601.062500
79,36425.070312
80,37755.316406
81,34008.589844
82,30280.992188
83,34821.093750
84,34872.906250
85,33139.921875
86,33990.125000
87,36195.699219
88,37314.722656
89,37015.597656
90,34805.148438
91,32149.890625
92,40024.488281
93,34005.046875
94,33058.675781
95,33615.757812
96,34344.394531
97,32532.542969
98,36555.605469
99,39747.078125
100,32322.244141
101,27820.417969
102,36479.054688
103,36224.882812
104,32829.394531
105,34219.605469
106,33519.503906
107,33561.046875
108,32104.101562
109,36740.937500
110,30586.085938
111,31237.527344
112,36429.347656
113,27266.425781
114,31380.779297
115,34858.023438
116,34979.179688
117,36640.945312
118,35215.683594
119,37179.203125
120,34566.707031
121,32840.496094
122,35558.203125
123,35501.226562
124,35420.464844
125,35857.667969
126,34253.859375
127,32586.244141
128,33265.566406
129,33553.195312
130,29835.779297
131,34327.613281
132,35084.308594
133,32975.738281
134,36370.195312
135,35740.820312
136,29706.244141
137,32145.984375
138,37105.835938
139,28390.078125
140,35885.125000
141,30854.015625
142,34267.984375
